CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,ADDR_PCT_CD,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,BORO_NM,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,JURIS_DESC,JURISDICTION_CODE,HADEVELOPT,HOUSING_PSA,X_COORD_CD,Y_COORD_CD,SUSP_AGE_GROUP,SUSP_RACE,SUSP_SEX,LATITUDE,LONGITUDE,LAT_LON,PATROL_BORO,VIC_AGE_GROUP,VIC_RACE,VIC_SEX,:@COMPUTED_REGION_EFSH_H5XI,:@COMPUTED_REGION_F5DN_YRER,:@COMPUTED_REGION_YEJI_BK3Q,:@COMPUTED_REGION_92FQ_4B7Q,:@COMPUTED_REGION_SBQJ_ENIH,CMPLNT_TO_DT,CMPLNT_TO_TM,PARKS_NM,TRANSIT_DISTRICT,STATION_NAME,Year
877756354,2011-01-28,15:35:00,43,2011-01-28,235,DANGEROUS DRUGS,567,"MARIJUANA, POSSESSION 4 & 5",COMPLETED,MISDEMEANOR,BRONX,,STREET,N.Y. POLICE DEPT,0,,NA,1017663,243304,,,,40.834433669,-73.879255527,"{'latitude': '40.834433669', 'longitude': '-73.879255527'}",PATROL BORO BRONX,,UNKNOWN,E,11610,58,5,31,26,2011-01-28,15:40:00,NA,,,2011.0
344551552,2011-03-12,22:45:00,24,2011-03-12,578,HARRASSMENT 2,637,"HARASSMENT,SUBD 1,CIVILIAN",COMPLETED,VIOLATION,MANHATTAN,INSIDE,RESTAURANT/DINER,N.Y. POLICE DEPT,0,,NA,993113,230778,,BLACK,M,40.800112068,-73.967989389,"{'latitude': '40.800112068', 'longitude': '-73.967989389'}",PATROL BORO MAN NORTH,25-44,WHITE,F,12422,20,4,23,15,2011-03-12,22:47:00,NA,,,2011.0
734830374,2011-03-03,00:00:00,52,2011-03-03,235,DANGEROUS DRUGS,567,"MARIJUANA, POSSESSION 4 & 5",COMPLETED,MISDEMEANOR,BRONX,,STREET,N.Y. POLICE DEPT,0,,NA,1008647,253247,,,,40.861753771,-73.911800813,"{'latitude': '40.861753771', 'longitude': '-73.911800813'}",PATROL BORO BRONX,,UNKNOWN,E,11606,24,5,29,34,2011-03-03,00:02:00,NA,,,2011.0
290608449,2011-02-23,18:55:00,44,2011-02-23,352,CRIMINAL TRESPASS,205,"TRESPASS 2, CRIMINAL",COMPLETED,MISDEMEANOR,BRONX,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,,NA,1007229,244161,,,,40.836819196,-73.916958337,"{'latitude': '40.836819196', 'longitude': '-73.916958337'}",PATROL BORO BRONX,,UNKNOWN,E,10930,50,5,42,27,2011-02-23,19:00:00,NA,,,2011.0
162909425,2011-02-13,22:15:00,14,2011-02-14,344,ASSAULT 3 & RELATED OFFENSES,101,ASSAULT 3,COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,BUS TERMINAL,PORT AUTHORITY,3,,NA,986882,214802,,,,40.756266207,-73.990501248,"{'latitude': '40.756266207', 'longitude': '-73.990501248'}",PATROL BORO MAN SOUTH,25-44,BLACK,F,12080,12,4,10,8,2011-02-13,22:50:00,NA,,,2011.0
270573981,2011-01-14,16:50:00,70,2011-01-14,341,PETIT LARCENY,338,"LARCENY,PETIT FROM BUILDING,UN",COMPLETED,MISDEMEANOR,BROOKLYN,INSIDE,DRY CLEANER/LAUNDRY,N.Y. POLICE DEPT,0,,NA,997240,171734,,,,40.638045433,-73.953197115,"{'latitude': '40.638045433', 'longitude': '-73.953197115'}",PATROL BORO BKLYN SOUTH,25-44,BLACK,F,17217,60,2,26,43,2011-01-14,17:05:00,NA,,,2011.0
826133747,2011-02-28,16:00:00,52,2011-02-28,361,OFF. AGNST PUB ORD SENSBLTY &,639,AGGRAVATED HARASSMENT 2,COMPLETED,MISDEMEANOR,BRONX,INSIDE,RESIDENCE-HOUSE,N.Y. POLICE DEPT,0,,NA,1009813,255753,,UNKNOWN,U,40.868628679,-73.907575905,"{'latitude': '40.868628679', 'longitude': '-73.907575905'}",PATROL BORO BRONX,45-64,WHITE HISPANIC,M,11606,24,5,29,34,2011-02-28,16:30:00,NA,,,2011.0
558797082,2011-03-04,19:35:00,113,2011-03-18,117,DANGEROUS DRUGS,568,"MARIJUANA, POSSESSION 1, 2 & 3",COMPLETED,FELONY,QUEENS,INSIDE,AIRPORT TERMINAL,PORT AUTHORITY,3,,NA,1046367,186986,,,,40.679700408,-73.776047368,"{'latitude': '40.679700408', 'longitude': '-73.776047368'}",PATROL BORO QUEENS SOUTH,,UNKNOWN,E,24669,41,3,46,71,2011-03-05,01:00:00,NA,,,2011.0
141316251,2011-03-08,23:54:00,122,2011-03-09,347,INTOXICATED & IMPAIRED DRIVING,905,"INTOXICATED DRIVING,ALCOHOL",COMPLETED,MISDEMEANOR,STATEN ISLAND,,HIGHWAY/PARKWAY,N.Y. POLICE DEPT,0,,NA,954943,148360,,,,40.573849649,-74.105496156,"{'latitude': '40.573849649', 'longitude': '-74.105496156'}",PATROL BORO STATEN ISLAND,,UNKNOWN,E,10693,30,1,14,76,2011-03-09,00:37:00,NA,,,2011.0
478471158,2011-02-18,20:00:00,94,2011-02-19,121,CRIMINAL MISCHIEF & RELATED OF,267,"MISCHIEF, CRIMINAL 3 & 2, OF M",COMPLETED,FELONY,BROOKLYN,OPPOSITE OF,STREET,N.Y. POLICE DEPT,0,,NA,996354,202004,,,,40.721130975,-73.956335101,"{'latitude': '40.721130975', 'longitude': '-73.956335101'}",PATROL BORO BKLYN NORTH,25-44,WHITE,M,17613,36,2,38,57,2011-02-19,19:00:00,NA,,,2011.0
125555725,2011-01-08,18:53:00,68,2011-01-08,341,PETIT LARCENY,338,"LARCENY,PETIT FROM BUILDING,UN",COMPLETED,MISDEMEANOR,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,,NA,977483,169719,,,,40.632521623,-74.024381631,"{'latitude': '40.632521623', 'longitude': '-74.024381631'}",PATROL BORO BKLYN SOUTH,25-44,WHITE,M,17216,10,2,44,41,2011-01-08,19:07:00,NA,,,2011.0
156638445,2011-03-06,22:00:00,108,2011-03-06,578,HARRASSMENT 2,637,"HARASSMENT,SUBD 1,CIVILIAN",COMPLETED,VIOLATION,QUEENS,INSIDE,RESIDENCE-HOUSE,N.Y. POLICE DEPT,0,,NA,1012841,208043,,,,40.737668627,-73.896831041,"{'latitude': '40.737668627', 'longitude': '-73.896831041'}",PATROL BORO QUEENS NORTH,18-24,WHITE HISPANIC,F,14787,53,3,34,66,2011-03-06,22:05:00,NA,,,2011.0
294867483,2011-02-15,19:20:00,78,2011-02-15,121,CRIMINAL MISCHIEF & RELATED OF,269,"MISCHIEF,CRIMINAL,    UNCL 2ND",COMPLETED,FELONY,BROOKLYN,,STREET,N.Y. POLICE DEPT,0,,NA,989960,184637,,,,40.673469032,-73.979416791,"{'latitude': '40.673469032', 'longitude': '-73.979416791'}",PATROL BORO BKLYN SOUTH,45-64,WHITE,M,17617,14,2,27,50,2011-02-15,19:30:00,NA,,,2011.0
750372988,2011-01-14,00:05:00,47,2011-01-14,351,CRIMINAL MISCHIEF & RELATED OF,254,"MISCHIEF, CRIMINAL 4, OF MOTOR",COMPLETED,MISDEMEANOR,BRONX,FRONT OF,STREET,N.Y. POLICE DEPT,0,,NA,1018861,265844,,UNKNOWN,U,40.896294465,-73.874809864,"{'latitude': '40.896294465', 'longitude': '-73.874809864'}",PATROL BORO BRONX,18-24,WHITE,F,11608,29,5,40,30,2011-01-14,14:00:00,NA,,,2011.0
195063959,2011-03-03,20:00:00,104,2011-03-03,578,HARRASSMENT 2,637,"HARASSMENT,SUBD 1,CIVILIAN",COMPLETED,VIOLATION,QUEENS,INSIDE,RESIDENCE-HOUSE,N.Y. POLICE DEPT,0,,NA,1010733,198666,25-44,WHITE,F,40.711937611,-73.904474636,"{'latitude': '40.711937611', 'longitude': '-73.904474636'}",PATROL BORO QUEENS NORTH,45-64,WHITE,F,15310,54,3,34,62,2011-03-03,20:15:00,NA,,,2011.0
204292530,2011-03-03,17:30:00,44,2011-03-04,341,PETIT LARCENY,321,"LARCENY,PETIT FROM AUTO",COMPLETED,MISDEMEANOR,BRONX,FRONT OF,STREET,N.Y. POLICE DEPT,0,,NA,1007643,240889,,,,40.827837413,-73.915473605,"{'latitude': '40.827837413', 'longitude': '-73.915473605'}",PATROL BORO BRONX,25-44,BLACK,F,10934,50,5,42,27,2011-03-04,06:00:00,NA,,,2011.0
947678087,2011-02-12,19:55:00,88,2011-02-12,105,ROBBERY,399,"ROBBERY,COMMERCIAL UNCLASSIFIED",COMPLETED,FELONY,BROOKLYN,INSIDE,SMALL MERCHANT,N.Y. POLICE DEPT,0,,NA,990949,190084,,BLACK,M,40.68841912,-73.975846014,"{'latitude': '40.68841912', 'longitude': '-73.975846014'}",PATROL BORO BKLYN NORTH,,UNKNOWN,D,17619,68,2,48,55,2011-02-12,20:05:00,NA,,,2011.0
