CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,ADDR_PCT_CD,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,BORO_NM,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,JURIS_DESC,JURISDICTION_CODE,HADEVELOPT,HOUSING_PSA,X_COORD_CD,Y_COORD_CD,SUSP_AGE_GROUP,SUSP_RACE,SUSP_SEX,LATITUDE,LONGITUDE,LAT_LON,PATROL_BORO,VIC_AGE_GROUP,VIC_RACE,VIC_SEX,:@COMPUTED_REGION_EFSH_H5XI,:@COMPUTED_REGION_F5DN_YRER,:@COMPUTED_REGION_YEJI_BK3Q,:@COMPUTED_REGION_92FQ_4B7Q,:@COMPUTED_REGION_SBQJ_ENIH,CMPLNT_TO_DT,CMPLNT_TO_TM,PARKS_NM,TRANSIT_DISTRICT,STATION_NAME,Year
393816841,2012-03-17,10:30:00,69,2012-03-17,344,ASSAULT 3 & RELATED OFFENSES,114,OBSTR BREATH/CIRCUL,COMPLETED,MISDEMEANOR,BROOKLYN,INSIDE,RESIDENCE-HOUSE,N.Y. POLICE DEPT,0,,NA,1014035,174133,,,,40.644589618,-73.892672426,"{'latitude': '40.644589618', 'longitude': '-73.892672426'}",PATROL BORO BKLYN SOUTH,45-64,BLACK,F,13827,5,2,8,42,2012-03-17,11:00:00,NA,,,2012.0
450452011,2012-10-21,00:30:00,26,2012-10-21,106,FELONY ASSAULT,109,"ASSAULT 2,1,UNCLASSIFIED",COMPLETED,FELONY,MANHATTAN,FRONT OF,STREET,N.Y. POLICE DEPT,0,,NA,997234,235805,,UNKNOWN,U,40.813904701,-73.953095126,"{'latitude': '40.813904701', 'longitude': '-73.953095126'}",PATROL BORO MAN NORTH,45-64,WHITE HISPANIC,M,12424,37,4,23,17,2012-10-21,00:35:00,NA,,,2012.0
253264123,2012-12-10,12:09:00,44,2012-12-10,235,DANGEROUS DRUGS,511,"CONTROLLED SUBSTANCE, POSSESSI",COMPLETED,MISDEMEANOR,BRONX,,STREET,N.Y. POLICE DEPT,0,,NA,1007839,246906,,,,40.844351811,-73.914744223,"{'latitude': '40.844351811', 'longitude': '-73.914744223'}",PATROL BORO BRONX,,UNKNOWN,E,10930,50,5,29,27,2012-12-10,12:10:00,NA,,,2012.0
879688088,2012-10-04,08:20:00,106,2012-10-04,578,HARRASSMENT 2,638,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,QUEENS,FRONT OF,RESIDENCE-HOUSE,N.Y. POLICE DEPT,0,,NA,1032263,187843,,UNKNOWN,M,40.682140409,-73.826891092,"{'latitude': '40.682140409', 'longitude': '-73.826891092'}",PATROL BORO QUEENS SOUTH,18-24,ASIAN / PACIFIC ISLANDER,F,24015,62,3,46,64,2012-10-04,08:27:00,NA,,,2012.0
218199833,2012-05-30,18:30:00,76,2012-05-30,578,HARRASSMENT 2,638,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,BROOKLYN,FRONT OF,BUS (NYC TRANSIT),N.Y. POLICE DEPT,0,,NA,983363,186832,,,,40.67949561,-74.003199384,"{'latitude': '40.67949561', 'longitude': '-74.003199384'}",PATROL BORO BKLYN SOUTH,45-64,BLACK,M,13514,14,2,27,48,2012-05-30,18:30:00,NA,,,2012.0
645606146,2012-12-26,11:50:00,13,2012-12-26,341,PETIT LARCENY,333,"LARCENY,PETIT FROM STORE-SHOPL",COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,TELECOMM. STORE,N.Y. POLICE DEPT,0,,NA,987103,207735,,WHITE,M,40.736868993,-73.989706546,"{'latitude': '40.736868993', 'longitude': '-73.989706546'}",PATROL BORO MAN SOUTH,,UNKNOWN,D,11724,11,4,50,7,2012-12-26,11:55:00,NA,,,2012.0
196243019,2012-03-25,16:00:00,115,2012-05-22,361,OFF. AGNST PUB ORD SENSBLTY &,639,AGGRAVATED HARASSMENT 2,COMPLETED,MISDEMEANOR,QUEENS,INSIDE,RESIDENCE-HOUSE,N.Y. POLICE DEPT,0,,NA,1016667,213611,,UNKNOWN,U,40.752938187,-73.882998128,"{'latitude': '40.752938187', 'longitude': '-73.882998128'}",PATROL BORO QUEENS NORTH,25-44,WHITE HISPANIC,F,14783,65,3,5,73,2012-05-21,18:44:00,NA,,,2012.0
811204173,2012-01-17,17:00:00,50,2012-01-18,351,CRIMINAL MISCHIEF & RELATED OF,254,"MISCHIEF, CRIMINAL 4, OF MOTOR",COMPLETED,MISDEMEANOR,BRONX,OPPOSITE OF,STREET,N.Y. POLICE DEPT,0,,NA,1012882,264897,,,,40.89371668,-73.896440557,"{'latitude': '40.89371668', 'longitude': '-73.896440557'}",PATROL BORO BRONX,25-44,WHITE HISPANIC,M,11609,48,5,40,33,2012-01-17,23:20:00,NA,,,2012.0
317224167,2012-06-29,15:15:00,41,2012-06-29,344,ASSAULT 3 & RELATED OFFENSES,101,ASSAULT 3,COMPLETED,MISDEMEANOR,BRONX,,STREET,N.Y. POLICE DEPT,0,,NA,1012542,237039,,,,40.817255925,-73.897787893,"{'latitude': '40.817255925', 'longitude': '-73.897787893'}",PATROL BORO BRONX,25-44,WHITE HISPANIC,F,10937,8,5,43,24,2012-06-29,15:20:00,NA,,,2012.0
187531756,2012-08-31,12:05:00,75,2012-08-31,344,ASSAULT 3 & RELATED OFFENSES,101,ASSAULT 3,COMPLETED,MISDEMEANOR,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,,NA,1021289,186931,,UNKNOWN,U,40.6796899,-73.866462672,"{'latitude': '40.6796899', 'longitude': '-73.866462672'}",PATROL BORO BKLYN NORTH,45-64,WHITE HISPANIC,F,17215,45,2,37,47,2012-08-31,12:15:00,NA,,,2012.0
