CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,ADDR_PCT_CD,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,BORO_NM,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,JURIS_DESC,JURISDICTION_CODE,HADEVELOPT,HOUSING_PSA,X_COORD_CD,Y_COORD_CD,SUSP_AGE_GROUP,SUSP_RACE,SUSP_SEX,LATITUDE,LONGITUDE,LAT_LON,PATROL_BORO,VIC_AGE_GROUP,VIC_RACE,VIC_SEX,:@COMPUTED_REGION_EFSH_H5XI,:@COMPUTED_REGION_F5DN_YRER,:@COMPUTED_REGION_YEJI_BK3Q,:@COMPUTED_REGION_92FQ_4B7Q,:@COMPUTED_REGION_SBQJ_ENIH,CMPLNT_TO_DT,CMPLNT_TO_TM,PARKS_NM,TRANSIT_DISTRICT,STATION_NAME,Year
686917220,2018-04-18,16:58:00,88,2019-04-18,344,ASSAULT 3 & RELATED OFFENSES,101,ASSAULT 3,COMPLETED,MISDEMEANOR,BROOKLYN,FRONT OF,OTHER,N.Y. POLICE DEPT,0,,,,,UNKNOWN,UNKNOWN,U,,,,PATROL BORO BKLYN NORTH,45-64,BLACK,M,,,,,,2019-04-18,17:01:00,,,,2019.0
864262100,2018-03-27,22:00:00,94,2019-04-01,578,HARRASSMENT 2,638,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,,,,,UNKNOWN,UNKNOWN,U,,,,PATROL BORO BKLYN NORTH,25-44,WHITE,F,,,,,,2019-04-01,08:00:00,,,,2019.0
555889431,2018-11-12,08:00:00,61,2019-03-28,341,PETIT LARCENY,349,"LARCENY,PETIT OF LICENSE PLATE",COMPLETED,MISDEMEANOR,BROOKLYN,REAR OF,RESIDENCE-HOUSE,N.Y. POLICE DEPT,0,,,,,,,,,,,PATROL BORO BKLYN SOUTH,45-64,WHITE,M,,,,,,2019-03-28,08:00:00,,,,2019.0
904608988,2018-10-03,03:00:00,106,2019-03-09,341,PETIT LARCENY,349,"LARCENY,PETIT OF LICENSE PLATE",COMPLETED,MISDEMEANOR,QUEENS,,STREET,N.Y. POLICE DEPT,0,,,,,,,,,,,PATROL BORO QUEENS SOUTH,18-24,BLACK,F,,,,,,2019-03-07,16:00:00,,,,2019.0
