CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,ADDR_PCT_CD,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,BORO_NM,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,JURIS_DESC,JURISDICTION_CODE,HADEVELOPT,HOUSING_PSA,X_COORD_CD,Y_COORD_CD,SUSP_AGE_GROUP,SUSP_RACE,SUSP_SEX,LATITUDE,LONGITUDE,LAT_LON,PATROL_BORO,VIC_AGE_GROUP,VIC_RACE,VIC_SEX,:@COMPUTED_REGION_EFSH_H5XI,:@COMPUTED_REGION_F5DN_YRER,:@COMPUTED_REGION_YEJI_BK3Q,:@COMPUTED_REGION_92FQ_4B7Q,:@COMPUTED_REGION_SBQJ_ENIH,CMPLNT_TO_DT,CMPLNT_TO_TM,PARKS_NM,TRANSIT_DISTRICT,STATION_NAME,Year
900669318,2013-03-08,23:30:00,9,2013-03-09,109,GRAND LARCENY,421,"LARCENY,GRAND FROM VEHICLE/MOTORCYCLE",COMPLETED,FELONY,MANHATTAN,FRONT OF,STREET,N.Y. POLICE DEPT,0,,NA,987193,204417,,UNKNOWN,U,40.727761867,-73.989383235,"{'latitude': '40.727761867', 'longitude': '-73.989383235'}",PATROL BORO MAN SOUTH,25-44,WHITE,M,11724,70,4,50,5,2013-03-09,10:30:00,NA,,,2013.0
907296697,2013-12-05,10:30:00,48,2013-12-05,344,ASSAULT 3 & RELATED OFFENSES,101,ASSAULT 3,COMPLETED,MISDEMEANOR,BRONX,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,,NA,1015372,245660,25-44,WHITE HISPANIC,M,40.840908572,-73.887523667,"{'latitude': '40.840908572', 'longitude': '-73.887523667'}",PATROL BORO BRONX,18-24,BLACK HISPANIC,F,11269,35,5,43,31,2013-12-05,10:30:00,NA,,,2013.0
516850438,2013-01-26,08:55:00,120,2013-01-26,578,HARRASSMENT 2,638,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,STATEN ISLAND,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,,NA,936722,172119,,BLACK,F,40.638984176,-74.171252305,"{'latitude': '40.638984176', 'longitude': '-74.171252305'}",PATROL BORO STATEN ISLAND,45-64,BLACK,F,10371,4,1,13,75,2013-01-26,09:00:00,NA,,,2013.0
693701632,2013-02-08,20:17:00,103,2014-01-24,121,CRIMINAL MISCHIEF & RELATED OF,273,"TAMPERING 1,CRIMINAL",COMPLETED,FELONY,QUEENS,,TRANSIT - NYC SUBWAY,N.Y. TRANSIT POLICE,1,,NA,1039726,195270,,,,40.702482133,-73.799922252,"{'latitude': '40.702482133', 'longitude': '-73.799922252'}",PATROL BORO QUEENS SOUTH,,UNKNOWN,E,24340,41,3,6,61,2013-02-08,20:28:00,,20,PARSONS/ARCHER-JAMAICA CENTER,2013.0
680703496,2013-08-13,05:30:00,107,2013-08-29,361,OFF. AGNST PUB ORD SENSBLTY &,639,AGGRAVATED HARASSMENT 2,COMPLETED,MISDEMEANOR,QUEENS,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,,NA,1034610,204169,25-44,WHITE,M,40.726938308,-73.818306941,"{'latitude': '40.726938308', 'longitude': '-73.818306941'}",PATROL BORO QUEENS SOUTH,25-44,WHITE,F,14509,25,3,24,65,2013-08-25,11:30:00,NA,,,2013.0
603518123,2013-11-21,10:37:00,5,2013-11-21,126,MISCELLANEOUS PENAL LAW,644,"FALSE REPORT 1,FIRE",COMPLETED,FELONY,MANHATTAN,INSIDE,OTHER,N.Y. POLICE DEPT,0,,NA,983903,200257,,UNKNOWN,M,40.716344152,-74.001253193,"{'latitude': '40.716344152', 'longitude': '-74.001253193'}",PATROL BORO MAN SOUTH,,UNKNOWN,D,12076,56,4,32,2,2013-11-21,12:14:00,NA,,,2013.0
927338372,2013-07-09,13:30:00,19,2013-07-10,341,PETIT LARCENY,313,"LARCENY,PETIT BY FALSE PROMISE",COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,RESTAURANT/DINER,N.Y. POLICE DEPT,0,,NA,996751,223632,,,,40.780493821,-73.954862683,"{'latitude': '40.780493821', 'longitude': '-73.954862683'}",PATROL BORO MAN NORTH,25-44,WHITE,M,10099,23,4,51,11,2013-07-09,14:30:00,NA,,,2013.0
711979177,2013-12-24,10:30:00,1,2013-12-24,105,ROBBERY,386,"ROBBERY,PERSONAL ELECTRONIC DEVICE",COMPLETED,FELONY,MANHATTAN,,TRANSIT - NYC SUBWAY,N.Y. TRANSIT POLICE,1,,NA,982466,197787,,BLACK,M,40.709564416,-74.006436281,"{'latitude': '40.709564416', 'longitude': '-74.006436281'}",PATROL BORO MAN SOUTH,25-44,ASIAN / PACIFIC ISLANDER,F,13096,56,4,32,1,2013-12-24,10:32:00,NA,2,FULTON STREET,2013.0
369139975,2013-11-12,11:00:00,104,2013-11-12,361,OFF. AGNST PUB ORD SENSBLTY &,639,AGGRAVATED HARASSMENT 2,COMPLETED,MISDEMEANOR,QUEENS,INSIDE,RESIDENCE-HOUSE,N.Y. POLICE DEPT,0,,NA,1011912,205328,25-44,ASIAN / PACIFIC ISLANDER,M,40.730219579,-73.900194489,"{'latitude': '40.730219579', 'longitude': '-73.900194489'}",PATROL BORO QUEENS NORTH,45-64,ASIAN / PACIFIC ISLANDER,F,14788,54,3,34,62,2013-11-12,11:10:00,NA,,,2013.0
725867205,2013-08-19,15:00:00,61,2013-09-01,112,THEFT-FRAUD,739,"FRAUD,UNCLASSIFIED-FELONY",COMPLETED,FELONY,BROOKLYN,INSIDE,RESIDENCE-HOUSE,N.Y. POLICE DEPT,0,,NA,991866,155371,,,,40.593138629,-73.972578651,"{'latitude': '40.593138629', 'longitude': '-73.972578651'}",PATROL BORO BKLYN SOUTH,25-44,WHITE,F,18183,32,2,45,36,2013-08-19,15:00:00,NA,,,2013.0
488873471,2013-01-21,23:00:00,60,2013-01-24,109,GRAND LARCENY,438,"LARCENY,GRAND FROM BUILDING (NON-RESIDENCE) UNATTENDED",COMPLETED,FELONY,BROOKLYN,INSIDE,OTHER,N.Y. POLICE DEPT,0,,NA,994098,149862,,,,40.578015318,-73.964549958,"{'latitude': '40.578015318', 'longitude': '-73.964549958'}",PATROL BORO BKLYN SOUTH,25-44,WHITE HISPANIC,M,13826,21,2,15,35,2013-01-23,20:00:00,NA,,,2013.0
822382751,2013-09-09,17:20:00,76,2013-09-09,344,ASSAULT 3 & RELATED OFFENSES,101,ASSAULT 3,COMPLETED,MISDEMEANOR,BROOKLYN,FRONT OF,RESIDENCE - PUBLIC HOUSING,N.Y. HOUSING POLICE,2,RED HOOK WEST,266,982236,185404,45-64,BLACK,M,40.675575887,-74.00726218,"{'latitude': '40.675575887', 'longitude': '-74.00726218'}",PATROL BORO BKLYN SOUTH,25-44,BLACK,F,13514,14,2,7,48,2013-09-09,17:25:00,NA,,,2013.0
