CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,ADDR_PCT_CD,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,BORO_NM,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,JURIS_DESC,JURISDICTION_CODE,HADEVELOPT,HOUSING_PSA,X_COORD_CD,Y_COORD_CD,SUSP_AGE_GROUP,SUSP_RACE,SUSP_SEX,LATITUDE,LONGITUDE,LAT_LON,PATROL_BORO,VIC_AGE_GROUP,VIC_RACE,VIC_SEX,:@COMPUTED_REGION_EFSH_H5XI,:@COMPUTED_REGION_F5DN_YRER,:@COMPUTED_REGION_YEJI_BK3Q,:@COMPUTED_REGION_92FQ_4B7Q,:@COMPUTED_REGION_SBQJ_ENIH,CMPLNT_TO_DT,CMPLNT_TO_TM,PARKS_NM,TRANSIT_DISTRICT,STATION_NAME,Year
633812343,2014-11-27,19:00:00,112,2014-11-28,104,RAPE,157,RAPE 1,COMPLETED,FELONY,QUEENS,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,,NA,1025420,202485,25-44,WHITE HISPANIC,M,40.722363687,-73.851473894,"{'latitude': '40.722363687', 'longitude': '-73.851473894'}",PATROL BORO QUEENS NORTH,25-44,WHITE,F,14786,40,3,28,70,2014-11-27,22:30:00,,,,2014.0
844389792,2014-05-12,21:30:00,10,2014-05-13,341,PETIT LARCENY,321,"LARCENY,PETIT FROM AUTO",COMPLETED,MISDEMEANOR,MANHATTAN,FRONT OF,STREET,N.Y. POLICE DEPT,0,,NA,984976,212289,,,,40.749369019,-73.997381224,"{'latitude': '40.749369019', 'longitude': '-73.997381224'}",PATROL BORO MAN SOUTH,45-64,WHITE,M,11722,12,4,10,6,2014-05-13,05:10:00,,,,2014.0
490176323,2014-09-26,19:40:00,67,2014-09-26,341,PETIT LARCENY,333,"LARCENY,PETIT FROM STORE-SHOPL",COMPLETED,MISDEMEANOR,BROOKLYN,INSIDE,CHAIN STORE,N.Y. POLICE DEPT,0,,NA,997992,176370,,BLACK,U,40.65076912,-73.950478137,"{'latitude': '40.65076912', 'longitude': '-73.950478137'}",PATROL BORO BKLYN SOUTH,,UNKNOWN,D,13510,61,2,11,40,2014-09-26,19:50:00,,,,2014.0
195044738,2014-03-29,15:45:00,83,2014-03-29,341,PETIT LARCENY,333,"LARCENY,PETIT FROM STORE-SHOPL",COMPLETED,MISDEMEANOR,BROOKLYN,INSIDE,FOOD SUPERMARKET,N.Y. POLICE DEPT,0,,NA,1009127,193992,,,,40.699113248,-73.910284899,"{'latitude': '40.699113248', 'longitude': '-73.910284899'}",PATROL BORO BKLYN NORTH,,UNKNOWN,D,15310,54,3,30,62,2014-03-29,16:00:00,,,,2014.0
232528347,2014-12-25,09:24:00,24,2014-12-25,105,ROBBERY,377,"ROBBERY,BODEGA/CONVENIENCE STORE",COMPLETED,FELONY,MANHATTAN,INSIDE,COMMERCIAL BUILDING,N.Y. POLICE DEPT,0,,NA,992524,228697,25-44,BLACK,M,40.794400859,-73.970119349,"{'latitude': '40.794400859', 'longitude': '-73.970119349'}",PATROL BORO MAN NORTH,,UNKNOWN,D,12422,20,4,23,15,2014-12-25,09:35:00,,,,2014.0
159209681,2014-01-10,17:50:00,79,2014-01-10,105,ROBBERY,379,"ROBBERY,GAS STATION",COMPLETED,FELONY,BROOKLYN,FRONT OF,GAS STATION,N.Y. POLICE DEPT,0,,NA,996229,193536,,BLACK,U,40.697888492,-73.956801115,"{'latitude': '40.697888492', 'longitude': '-73.956801115'}",PATROL BORO BKLYN NORTH,,UNKNOWN,D,17212,69,2,38,51,2014-01-10,17:58:00,,,,2014.0
436178212,2014-09-17,18:22:00,19,2014-09-17,121,CRIMINAL MISCHIEF & RELATED OF,268,CRIMINAL MIS 2 & 3,COMPLETED,FELONY,MANHATTAN,,STREET,N.Y. POLICE DEPT,0,,NA,997000,225137,25-44,WHITE,M,40.78462429,-73.953960734,"{'latitude': '40.78462429', 'longitude': '-73.953960734'}",PATROL BORO MAN NORTH,45-64,WHITE,M,10099,23,4,51,11,2014-09-17,18:30:00,,,,2014.0
715846130,2014-09-12,12:30:00,30,2014-09-12,341,PETIT LARCENY,338,"LARCENY,PETIT FROM BUILDING,UN",COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,PRIVATE/PAROCHIAL SCHOOL,N.Y. POLICE DEPT,0,,NA,999337,239612,,,,40.824350504,-73.945489219,"{'latitude': '40.824350504', 'longitude': '-73.945489219'}",PATROL BORO MAN NORTH,25-44,WHITE HISPANIC,F,12428,37,4,36,19,2014-09-12,13:30:00,,,,2014.0
918772229,2014-10-20,02:30:00,106,2014-10-20,578,HARRASSMENT 2,637,"HARASSMENT,SUBD 1,CIVILIAN",COMPLETED,VIOLATION,QUEENS,INSIDE,COMMERCIAL BUILDING,N.Y. STATE POLICE,11,,NA,1031898,186190,,UNKNOWN,M,40.677605279,-73.82821878,"{'latitude': '40.677605279', 'longitude': '-73.82821878'}",PATROL BORO QUEENS SOUTH,25-44,ASIAN / PACIFIC ISLANDER,F,24016,62,3,46,64,2014-10-20,02:45:00,,,,2014.0
905735924,2014-03-20,00:05:00,115,2014-03-20,236,DANGEROUS WEAPONS,782,"WEAPONS, POSSESSION, ETC",COMPLETED,MISDEMEANOR,QUEENS,,TRANSIT - NYC SUBWAY,N.Y. TRANSIT POLICE,1,,NA,1022285,212504,,,,40.749877374,-73.862727261,"{'latitude': '40.749877374', 'longitude': '-73.862727261'}",PATROL BORO QUEENS NORTH,,UNKNOWN,E,14510,65,3,21,73,2014-03-20,00:15:00,,20,103 ST.-CORONA PLAZA,2014.0
671099534,2014-10-12,00:55:00,1,2014-10-12,347,INTOXICATED & IMPAIRED DRIVING,905,"INTOXICATED DRIVING,ALCOHOL",COMPLETED,MISDEMEANOR,MANHATTAN,FRONT OF,STREET,N.Y. POLICE DEPT,0,,NA,981493,204887,25-44,WHITE,F,40.729051962,-74.009948773,"{'latitude': '40.729051962', 'longitude': '-74.009948773'}",PATROL BORO MAN SOUTH,,UNKNOWN,E,12077,57,4,10,3,2014-10-12,01:05:00,,,,2014.0
541289727,2014-08-27,14:50:00,25,2014-08-27,341,PETIT LARCENY,338,"LARCENY,PETIT FROM BUILDING,UN",COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,DEPARTMENT STORE,N.Y. POLICE DEPT,0,,NA,1002996,229133,,,,40.795581553,-73.932297815,"{'latitude': '40.795581553', 'longitude': '-73.932297815'}",PATROL BORO MAN NORTH,,UNKNOWN,D,13093,7,4,35,16,2014-08-27,15:00:00,,,,2014.0
267920737,2014-09-26,21:00:00,90,2014-09-26,341,PETIT LARCENY,343,"LARCENY,PETIT OF BICYCLE",COMPLETED,MISDEMEANOR,BROOKLYN,FRONT OF,STREET,N.Y. POLICE DEPT,0,,NA,994156,198960,,UNKNOWN,U,40.712778659,-73.964269076,"{'latitude': '40.712778659', 'longitude': '-73.964269076'}",PATROL BORO BKLYN NORTH,,UNKNOWN,M,17613,36,2,30,56,2014-09-26,21:00:00,,,,2014.0
835427388,2014-05-17,16:00:00,30,2014-05-17,351,CRIMINAL MISCHIEF & RELATED OF,258,"CRIMINAL MISCHIEF 4TH, GRAFFIT",COMPLETED,MISDEMEANOR,MANHATTAN,,STREET,N.Y. POLICE DEPT,0,,NA,999012,240409,,,,40.826538591,-73.946661753,"{'latitude': '40.826538591', 'longitude': '-73.946661753'}",PATROL BORO MAN NORTH,,UNKNOWN,E,12428,37,4,23,19,2014-05-17,16:00:00,,,,2014.0
982517341,2014-02-10,15:18:00,83,2014-02-10,232,POSSESSION OF STOLEN PROPERTY,490,"STOLEN PROPERTY 3,POSSESSION",COMPLETED,MISDEMEANOR,BROOKLYN,,STREET,N.Y. POLICE DEPT,0,,NA,1004742,196383,,,,40.705687221,-73.926091703,"{'latitude': '40.705687221', 'longitude': '-73.926091703'}",PATROL BORO BKLYN NORTH,,UNKNOWN,D,13828,36,2,30,56,2014-02-10,15:20:00,,,,2014.0
571458084,2014-12-13,20:00:00,106,2014-12-15,344,ASSAULT 3 & RELATED OFFENSES,113,"MENACING,UNCLASSIFIED",COMPLETED,MISDEMEANOR,QUEENS,,STREET,N.Y. POLICE DEPT,0,,NA,1033013,189339,,ASIAN / PACIFIC ISLANDER,M,40.686242481,-73.824176156,"{'latitude': '40.686242481', 'longitude': '-73.824176156'}",PATROL BORO QUEENS SOUTH,45-64,ASIAN / PACIFIC ISLANDER,M,24015,62,3,46,64,2014-12-13,21:00:00,,,,2014.0
806209583,2014-06-20,09:00:00,60,2014-07-09,112,THEFT-FRAUD,739,"FRAUD,UNCLASSIFIED-FELONY",COMPLETED,FELONY,BROOKLYN,INSIDE,RESIDENCE - PUBLIC HOUSING,N.Y. HOUSING POLICE,2,,247,984688,150503,,,,40.579780195,-73.998424655,"{'latitude': '40.579780195', 'longitude': '-73.998424655'}",PATROL BORO BKLYN SOUTH,25-44,WHITE HISPANIC,M,18184,21,2,45,35,2014-07-08,15:00:00,,,,2014.0
922629390,2014-09-12,20:15:00,112,2014-09-12,126,MISCELLANEOUS PENAL LAW,760,"BRIBERY,PUBLIC ADMINISTRATION",COMPLETED,FELONY,QUEENS,,STREET,N.Y. POLICE DEPT,0,,NA,1024828,207327,,,,40.735656515,-73.85358043,"{'latitude': '40.735656515', 'longitude': '-73.85358043'}",PATROL BORO QUEENS NORTH,,UNKNOWN,E,14786,40,3,28,70,2014-09-12,20:21:00,,,,2014.0
768111948,2014-10-25,23:00:00,33,2014-10-25,106,FELONY ASSAULT,109,"ASSAULT 2,1,UNCLASSIFIED",COMPLETED,FELONY,MANHATTAN,FRONT OF,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,,NA,999340,244431,18-24,WHITE HISPANIC,M,40.837577271,-73.94546754,"{'latitude': '40.837577271', 'longitude': '-73.94546754'}",PATROL BORO MAN NORTH,25-44,WHITE HISPANIC,M,13090,47,4,23,21,2014-10-25,23:21:00,,,,2014.0
533623318,2014-06-24,07:50:00,30,2014-06-24,341,PETIT LARCENY,338,"LARCENY,PETIT FROM BUILDING,UN",COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,,NA,1000047,240579,25-44,BLACK,M,40.827003402,-73.942921577,"{'latitude': '40.827003402', 'longitude': '-73.942921577'}",PATROL BORO MAN NORTH,25-44,BLACK,F,12428,37,4,36,19,2014-06-24,08:00:00,,,,2014.0
445349036,2014-01-18,22:30:00,24,2014-01-18,341,PETIT LARCENY,333,"LARCENY,PETIT FROM STORE-SHOPL",COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,DRUG STORE,N.Y. POLICE DEPT,0,,NA,991075,227074,,UNKNOWN,U,40.789947399,-73.975354157,"{'latitude': '40.789947399', 'longitude': '-73.975354157'}",PATROL BORO MAN NORTH,,UNKNOWN,D,12421,20,4,19,15,2014-01-18,23:00:00,,,,2014.0
