CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,ADDR_PCT_CD,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,BORO_NM,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,JURIS_DESC,JURISDICTION_CODE,HADEVELOPT,HOUSING_PSA,X_COORD_CD,Y_COORD_CD,SUSP_AGE_GROUP,SUSP_RACE,SUSP_SEX,LATITUDE,LONGITUDE,LAT_LON,PATROL_BORO,VIC_AGE_GROUP,VIC_RACE,VIC_SEX,:@COMPUTED_REGION_EFSH_H5XI,:@COMPUTED_REGION_F5DN_YRER,:@COMPUTED_REGION_YEJI_BK3Q,:@COMPUTED_REGION_92FQ_4B7Q,:@COMPUTED_REGION_SBQJ_ENIH,CMPLNT_TO_DT,CMPLNT_TO_TM,PARKS_NM,TRANSIT_DISTRICT,STATION_NAME,Year
882568598,2017-06-28,09:30:00,120,2017-06-28,578,HARRASSMENT 2,638,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,STATEN ISLAND,FRONT OF,RESIDENCE - PUBLIC HOUSING,N.Y. HOUSING POLICE,2,RICHMOND TERRACE,10143,959780,175052,25-44,WHITE,U,40.647128347,-74.088181423,"{'latitude': '40.647128347', 'longitude': '-74.088181423'}",PATROL BORO STATEN ISLAND,45-64,BLACK,F,10369,4,1,13,74,2017-06-28,09:45:00,,,,2017.0
662210384,2017-06-28,11:20:00,121,2017-06-28,344,ASSAULT 3 & RELATED OFFENSES,101,ASSAULT 3,COMPLETED,MISDEMEANOR,STATEN ISLAND,REAR OF,PUBLIC SCHOOL,N.Y. POLICE DEPT,0,,NA,942825,166367,<18,WHITE,F,40.623226819,-74.149226973,"{'latitude': '40.623226819', 'longitude': '-74.149226973'}",PATROL BORO STATEN ISLAND,<18,WHITE,F,10700,4,1,13,75,2017-06-28,11:22:00,,,,2017.0
757192494,2017-01-25,09:00:00,5,2017-01-26,109,GRAND LARCENY,418,"LARCENY,GRAND BY ACQUIRING LOST CREDIT CARD",COMPLETED,FELONY,MANHATTAN,INSIDE,STREET,N.Y. POLICE DEPT,0,,NA,985334,201196,,,,40.718921422,-73.996090942,"{'latitude': '40.718921422', 'longitude': '-73.996090942'}",PATROL BORO MAN SOUTH,25-44,ASIAN / PACIFIC ISLANDER,F,12076,57,4,32,2,2017-01-25,09:00:00,,,,2017.0
926882816,2017-01-17,01:00:00,47,2017-01-25,578,HARRASSMENT 2,638,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,BRONX,OPPOSITE OF,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,,NA,1021058,259407,UNKNOWN,UNKNOWN,M,40.878618049,-73.866898476,"{'latitude': '40.878618049', 'longitude': '-73.866898476'}",PATROL BORO BRONX,45-64,BLACK,M,11605,29,5,2,30,2017-01-25,16:37:00,,,,2017.0
222850583,2017-11-16,14:45:00,84,2017-11-16,341,PETIT LARCENY,333,"LARCENY,PETIT FROM STORE-SHOPL",COMPLETED,MISDEMEANOR,BROOKLYN,INSIDE,CLOTHING/BOUTIQUE,N.Y. POLICE DEPT,0,,NA,987072,189816,,,,40.687685606,-73.989825915,"{'latitude': '40.687685606', 'longitude': '-73.989825915'}",PATROL BORO BKLYN NORTH,UNKNOWN,UNKNOWN,D,16865,68,2,38,54,2017-11-16,15:00:00,,,,2017.0
848609220,2017-01-13,15:15:00,88,2017-01-13,344,ASSAULT 3 & RELATED OFFENSES,101,ASSAULT 3,COMPLETED,MISDEMEANOR,BROOKLYN,INSIDE,RESIDENCE - PUBLIC HOUSING,N.Y. HOUSING POLICE,2,INGERSOLL,477,989763,192047,18-24,WHITE HISPANIC,M,40.693807922,-73.980120917,"{'latitude': '40.693807922', 'longitude': '-73.980120917'}",PATROL BORO BKLYN NORTH,18-24,WHITE HISPANIC,M,16865,68,2,48,55,2017-01-13,15:52:00,,,,2017.0
437296171,2017-08-15,20:10:00,114,2017-08-15,578,HARRASSMENT 2,638,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,QUEENS,INSIDE,COMMERCIAL BUILDING,N.Y. POLICE DEPT,0,,NA,1003448,213259,UNKNOWN,UNKNOWN,U,40.752010616,-73.930710705,"{'latitude': '40.752010616', 'longitude': '-73.930710705'}",PATROL BORO QUEENS NORTH,45-64,WHITE,M,16858,39,3,33,72,2017-08-15,20:20:00,,,,2017.0
186713078,2017-11-04,19:00:00,113,2017-11-05,361,OFF. AGNST PUB ORD SENSBLTY &,661,"LEWDNESS,PUBLIC",COMPLETED,MISDEMEANOR,QUEENS,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,,NA,1047038,184470,25-44,BLACK,M,40.672789843,-73.773651622,"{'latitude': '40.672789843', 'longitude': '-73.773651622'}",PATROL BORO QUEENS SOUTH,18-24,BLACK,F,24669,41,3,46,71,2017-11-04,19:30:00,,,,2017.0
765518913,2017-07-12,18:30:00,105,2017-07-16,578,HARRASSMENT 2,638,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,QUEENS,FRONT OF,STREET,N.Y. POLICE DEPT,0,,NA,1055081,197607,UNKNOWN,BLACK,M,40.708787036,-73.744518758,"{'latitude': '40.708787036', 'longitude': '-73.744518758'}",PATROL BORO QUEENS SOUTH,45-64,BLACK,M,24338,63,3,6,63,2017-07-12,20:00:00,,,,2017.0
496506286,2017-07-06,07:45:00,34,2017-07-06,117,DANGEROUS DRUGS,500,"CONTROLLED SUBSTANCE,POSSESS.",COMPLETED,FELONY,MANHATTAN,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,,NA,1004370,252431,,,,40.85952488,-73.927265571,"{'latitude': '40.85952488', 'longitude': '-73.927265571'}",PATROL BORO MAN NORTH,UNKNOWN,UNKNOWN,E,13098,47,4,39,22,2017-07-06,08:30:00,,,,2017.0
