CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,ADDR_PCT_CD,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,BORO_NM,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,JURIS_DESC,JURISDICTION_CODE,HADEVELOPT,HOUSING_PSA,X_COORD_CD,Y_COORD_CD,SUSP_AGE_GROUP,SUSP_RACE,SUSP_SEX,LATITUDE,LONGITUDE,LAT_LON,PATROL_BORO,VIC_AGE_GROUP,VIC_RACE,VIC_SEX,:@COMPUTED_REGION_EFSH_H5XI,:@COMPUTED_REGION_F5DN_YRER,:@COMPUTED_REGION_YEJI_BK3Q,:@COMPUTED_REGION_92FQ_4B7Q,:@COMPUTED_REGION_SBQJ_ENIH,CMPLNT_TO_DT,CMPLNT_TO_TM,PARKS_NM,TRANSIT_DISTRICT,STATION_NAME,Year
760733082,2015-05-17,12:01:00,70,2015-05-17,341,PETIT LARCENY,333,"LARCENY,PETIT FROM STORE-SHOPL",COMPLETED,MISDEMEANOR,BROOKLYN,INSIDE,DRUG STORE,N.Y. POLICE DEPT,0,,NA,994303,172997,,,,40.641515918,-73.96377755,"{'latitude': '40.641515918', 'longitude': '-73.96377755'}",PATROL BORO BKLYN SOUTH,,UNKNOWN,D,13510,60,2,11,43,2015-05-17,12:08:00,,,,2015.0
221786004,2015-09-30,21:00:00,24,2015-10-01,351,CRIMINAL MISCHIEF & RELATED OF,254,"MISCHIEF, CRIMINAL 4, OF MOTOR",COMPLETED,MISDEMEANOR,MANHATTAN,FRONT OF,STREET,N.Y. POLICE DEPT,0,,NA,993410,229866,UNKNOWN,UNKNOWN,U,40.797608573,-73.966917906,"{'latitude': '40.797608573', 'longitude': '-73.966917906'}",PATROL BORO MAN NORTH,45-64,UNKNOWN,M,12422,20,4,23,15,2015-10-01,08:15:00,,,,2015.0
896725438,2015-10-20,14:00:00,45,2015-10-20,107,BURGLARY,221,"BURGLARY,RESIDENCE,DAY",COMPLETED,FELONY,BRONX,INSIDE,RESIDENCE-HOUSE,N.Y. POLICE DEPT,0,,NA,1027418,246508,,,,40.843185413,-73.84398293,"{'latitude': '40.843185413', 'longitude': '-73.84398293'}",PATROL BORO BRONX,45-64,WHITE HISPANIC,F,11270,43,5,12,28,2015-10-20,16:00:00,,,,2015.0
639884813,2015-08-26,18:15:00,30,2015-08-26,578,HARRASSMENT 2,638,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,MANHATTAN,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,,NA,997108,238893,45-64,WHITE HISPANIC,M,40.822380578,-73.953544401,"{'latitude': '40.822380578', 'longitude': '-73.953544401'}",PATROL BORO MAN NORTH,45-64,WHITE HISPANIC,F,12428,37,4,23,19,2015-08-26,18:30:00,,,,2015.0
947597477,2015-09-18,00:30:00,63,2015-09-18,351,CRIMINAL MISCHIEF & RELATED OF,259,"CRIMINAL MISCHIEF,UNCLASSIFIED 4",COMPLETED,MISDEMEANOR,BROOKLYN,REAR OF,RESIDENCE-HOUSE,N.Y. POLICE DEPT,0,,NA,1003469,166387,,BLACK,F,40.623357724,-73.93076861,"{'latitude': '40.623357724', 'longitude': '-73.93076861'}",PATROL BORO BKLYN SOUTH,18-24,BLACK HISPANIC,F,13825,5,2,26,38,2015-09-18,03:30:00,,,,2015.0
131306243,2015-09-14,19:00:00,78,2015-09-15,341,PETIT LARCENY,338,"LARCENY,PETIT FROM BUILDING,UN",COMPLETED,MISDEMEANOR,BROOKLYN,INSIDE,DRUG STORE,N.Y. POLICE DEPT,0,,NA,991971,185846,,,,40.676785941,-73.972165715,"{'latitude': '40.676785941', 'longitude': '-73.972165715'}",PATROL BORO BKLYN SOUTH,18-24,WHITE,F,13829,16,2,48,50,2015-09-14,19:00:00,,,,2015.0
617302059,2015-08-26,19:30:00,90,2015-09-03,352,CRIMINAL TRESPASS,203,"TRESPASS 3, CRIMINAL",COMPLETED,MISDEMEANOR,BROOKLYN,INSIDE,FACTORY/WAREHOUSE,N.Y. POLICE DEPT,0,,NA,1003926,198770,<18,BLACK,M,40.712240822,-73.929027844,"{'latitude': '40.712240822', 'longitude': '-73.929027844'}",PATROL BORO BKLYN NORTH,,UNKNOWN,D,13828,36,2,30,56,2015-08-26,20:00:00,,,,2015.0
986013644,2015-04-12,18:45:00,75,2015-04-12,235,DANGEROUS DRUGS,511,"CONTROLLED SUBSTANCE, POSSESSI",COMPLETED,MISDEMEANOR,BROOKLYN,,OTHER,N.Y. POLICE DEPT,0,,NA,1013014,181942,,,,40.666026978,-73.896318249,"{'latitude': '40.666026978', 'longitude': '-73.896318249'}",PATROL BORO BKLYN NORTH,,UNKNOWN,E,17214,45,2,25,47,2015-04-12,19:00:00,,,,2015.0
582841986,2015-02-13,18:27:00,43,2015-02-13,344,ASSAULT 3 & RELATED OFFENSES,113,"MENACING,UNCLASSIFIED",COMPLETED,MISDEMEANOR,BRONX,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,,NA,1017772,240710,45-64,WHITE HISPANIC,F,40.827313476,-73.878874593,"{'latitude': '40.827313476', 'longitude': '-73.878874593'}",PATROL BORO BRONX,45-64,WHITE HISPANIC,M,11610,58,5,31,26,2015-02-13,18:46:00,,,,2015.0
442691362,2015-08-21,23:00:00,106,2015-08-21,106,FELONY ASSAULT,105,STRANGULATION 1ST,COMPLETED,FELONY,QUEENS,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,,NA,1032897,189652,45-64,ASIAN / PACIFIC ISLANDER,M,40.687102231,-73.824592157,"{'latitude': '40.687102231', 'longitude': '-73.824592157'}",PATROL BORO QUEENS SOUTH,45-64,UNKNOWN,F,24015,62,3,46,64,2015-08-21,23:10:00,,,,2015.0
