CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,ADDR_PCT_CD,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,BORO_NM,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,JURIS_DESC,JURISDICTION_CODE,HADEVELOPT,HOUSING_PSA,X_COORD_CD,Y_COORD_CD,SUSP_AGE_GROUP,SUSP_RACE,SUSP_SEX,LATITUDE,LONGITUDE,LAT_LON,PATROL_BORO,VIC_AGE_GROUP,VIC_RACE,VIC_SEX,:@COMPUTED_REGION_EFSH_H5XI,:@COMPUTED_REGION_F5DN_YRER,:@COMPUTED_REGION_YEJI_BK3Q,:@COMPUTED_REGION_92FQ_4B7Q,:@COMPUTED_REGION_SBQJ_ENIH,CMPLNT_TO_DT,CMPLNT_TO_TM,PARKS_NM,TRANSIT_DISTRICT,STATION_NAME,Year
802896158,2016-10-27,13:48:00,71,2016-11-03,578,HARRASSMENT 2,638,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,BROOKLYN,INSIDE,PUBLIC SCHOOL,N.Y. POLICE DEPT,0,,NA,1000222,179282,<18,BLACK,M,40.658758183,-73.942434788,"{'latitude': '40.658758183', 'longitude': '-73.942434788'}",PATROL BORO BKLYN SOUTH,18-24,BLACK,M,16866,17,2,11,44,2016-11-03,13:49:00,,,,2016.0
895680254,2016-09-17,00:05:00,60,2016-09-17,351,CRIMINAL MISCHIEF & RELATED OF,259,"CRIMINAL MISCHIEF,UNCLASSIFIED 4",COMPLETED,MISDEMEANOR,BROOKLYN,FRONT OF,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,,NA,984501,147851,UNKNOWN,BLACK,M,40.572500982,-73.999097946,"{'latitude': '40.572500982', 'longitude': '-73.999097946'}",PATROL BORO BKLYN SOUTH,25-44,BLACK,F,18184,21,2,45,35,2016-09-17,00:15:00,,,,2016.0
791737161,2016-03-02,08:30:00,5,2016-03-02,233,SEX CRIMES,175,"SEXUAL ABUSE 3,2",COMPLETED,MISDEMEANOR,MANHATTAN,,TRANSIT - NYC SUBWAY,N.Y. TRANSIT POLICE,1,,NA,984946,200203,18-24,BLACK,M,40.716195914,-73.997490746,"{'latitude': '40.716195914', 'longitude': '-73.997490746'}",PATROL BORO MAN SOUTH,18-24,WHITE HISPANIC,F,12076,70,4,32,2,2016-03-02,09:00:00,,2,BROOKLYN BRIDGE-CITY HALL,2016.0
312654709,2016-12-27,15:10:00,77,2016-12-27,344,ASSAULT 3 & RELATED OFFENSES,101,ASSAULT 3,COMPLETED,MISDEMEANOR,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,,NA,1000933,185688,18-24,BLACK,M,40.676339914,-73.939856334,"{'latitude': '40.676339914', 'longitude': '-73.939856334'}",PATROL BORO BKLYN NORTH,25-44,BLACK,F,17615,16,2,49,49,2016-12-27,15:20:00,,,,2016.0
133989307,2016-08-12,03:10:00,75,2016-08-16,351,CRIMINAL MISCHIEF & RELATED OF,258,"CRIMINAL MISCHIEF 4TH, GRAFFIT",COMPLETED,MISDEMEANOR,BROOKLYN,REAR OF,FACTORY/WAREHOUSE,N.Y. POLICE DEPT,0,,NA,1011692,181077,UNKNOWN,BLACK,M,40.663656943,-73.901087069,"{'latitude': '40.663656943', 'longitude': '-73.901087069'}",PATROL BORO BKLYN NORTH,UNKNOWN,UNKNOWN,D,17214,55,2,25,46,2016-08-12,03:20:00,,,,2016.0
455442968,2016-03-15,23:00:00,121,2016-03-16,341,PETIT LARCENY,321,"LARCENY,PETIT FROM AUTO",COMPLETED,MISDEMEANOR,STATEN ISLAND,FRONT OF,STREET,N.Y. POLICE DEPT,0,,NA,945508,167767,,,,40.627081661,-74.139570038,"{'latitude': '40.627081661', 'longitude': '-74.139570038'}",PATROL BORO STATEN ISLAND,65+,WHITE,M,10370,4,1,13,75,2016-03-16,08:00:00,,,,2016.0
250069740,2016-03-01,18:35:00,88,2016-03-01,235,DANGEROUS DRUGS,567,"MARIJUANA, POSSESSION 4 & 5",COMPLETED,MISDEMEANOR,BROOKLYN,,STREET,N.Y. POLICE DEPT,0,,NA,990520,192989,45-64,BLACK,M,40.696392989,-73.97739021,"{'latitude': '40.696392989', 'longitude': '-73.97739021'}",PATROL BORO BKLYN NORTH,UNKNOWN,UNKNOWN,E,17212,68,2,48,55,2016-03-01,18:36:00,,,,2016.0
530996098,2016-02-15,15:25:00,106,2016-02-15,344,ASSAULT 3 & RELATED OFFENSES,101,ASSAULT 3,COMPLETED,MISDEMEANOR,QUEENS,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,,NA,1026544,182554,18-24,ASIAN / PACIFIC ISLANDER,F,40.667652487,-73.847544028,"{'latitude': '40.667652487', 'longitude': '-73.847544028'}",PATROL BORO QUEENS SOUTH,25-44,ASIAN / PACIFIC ISLANDER,M,15314,62,3,41,64,2016-02-15,15:30:00,,,,2016.0
317306503,2016-09-02,14:00:00,13,2016-09-02,109,GRAND LARCENY,412,"LARCENY,GRAND FROM RESIDENCE, UNATTENDED",COMPLETED,FELONY,MANHATTAN,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,,NA,990577,204879,25-44,WHITE,U,40.729028172,-73.977173481,"{'latitude': '40.729028172', 'longitude': '-73.977173481'}",PATROL BORO MAN SOUTH,25-44,ASIAN / PACIFIC ISLANDER,M,11729,70,4,50,5,2016-09-02,15:00:00,,,,2016.0
911639488,2016-01-03,01:30:00,41,2016-01-03,344,ASSAULT 3 & RELATED OFFENSES,101,ASSAULT 3,COMPLETED,MISDEMEANOR,BRONX,INSIDE,RESIDENCE-HOUSE,N.Y. POLICE DEPT,0,,NA,1013619,239956,25-44,WHITE HISPANIC,M,40.825258747,-73.893884137,"{'latitude': '40.825258747', 'longitude': '-73.893884137'}",PATROL BORO BRONX,45-64,BLACK HISPANIC,M,10937,8,5,43,24,2016-01-03,02:04:00,,,,2016.0
259443625,2016-10-22,15:00:00,83,2016-10-22,578,HARRASSMENT 2,637,"HARASSMENT,SUBD 1,CIVILIAN",COMPLETED,VIOLATION,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,,NA,1007350,194438,<18,WHITE HISPANIC,M,40.70034223,-73.916691948,"{'latitude': '40.70034223', 'longitude': '-73.916691948'}",PATROL BORO BKLYN NORTH,25-44,WHITE HISPANIC,F,13828,42,2,37,53,2016-10-22,15:30:00,,,,2016.0
582962028,2016-02-07,16:30:00,68,2016-02-07,110,GRAND LARCENY OF MOTOR VEHICLE,441,"LARCENY,GRAND OF AUTO",COMPLETED,FELONY,BROOKLYN,FRONT OF,STREET,N.Y. POLICE DEPT,0,,NA,977790,169378,,,,40.631585879,-74.023275243,"{'latitude': '40.631585879', 'longitude': '-74.023275243'}",PATROL BORO BKLYN SOUTH,65+,WHITE,M,17216,10,2,44,41,2016-02-07,21:30:00,,,,2016.0
118807000,2016-05-01,06:00:00,33,2016-05-01,341,PETIT LARCENY,357,"LARCENY,PETIT OF VEHICLE ACCES",COMPLETED,MISDEMEANOR,MANHATTAN,,STREET,N.Y. POLICE DEPT,0,,NA,999242,242681,,,,40.832774193,-73.945825615,"{'latitude': '40.832774193', 'longitude': '-73.945825615'}",PATROL BORO MAN NORTH,25-44,WHITE HISPANIC,M,13090,47,4,23,21,2016-05-01,17:20:00,,,,2016.0
672877960,2016-09-08,09:15:00,94,2016-09-08,107,BURGLARY,221,"BURGLARY,RESIDENCE,DAY",COMPLETED,FELONY,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,,NA,996975,207415,,,,40.735981979,-73.954084552,"{'latitude': '40.735981979', 'longitude': '-73.954084552'}",PATROL BORO BKLYN NORTH,45-64,WHITE HISPANIC,M,18182,36,2,38,57,2016-09-08,10:00:00,,,,2016.0
392692622,2016-03-11,10:00:00,14,2016-07-13,112,THEFT-FRAUD,739,"FRAUD,UNCLASSIFIED-FELONY",ATTEMPTED,FELONY,MANHATTAN,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,,NA,989352,211337,UNKNOWN,UNKNOWN,U,40.746754576,-73.981588414,"{'latitude': '40.746754576', 'longitude': '-73.981588414'}",PATROL BORO MAN SOUTH,25-44,WHITE,F,12078,11,4,50,8,2016-03-11,18:00:00,,,,2016.0
319610771,2016-02-27,10:50:00,67,2016-02-27,578,HARRASSMENT 2,637,"HARASSMENT,SUBD 1,CIVILIAN",COMPLETED,VIOLATION,BROOKLYN,INSIDE,RESIDENCE-HOUSE,N.Y. POLICE DEPT,0,,NA,1008377,176697,25-44,BLACK,M,40.651644461,-73.91305161,"{'latitude': '40.651644461', 'longitude': '-73.91305161'}",PATROL BORO BKLYN SOUTH,25-44,BLACK,F,13827,61,2,25,40,2016-02-27,11:00:00,,,,2016.0
